CÓDIGO RENIPRESS,lat,lon
00025942,-16.4443229,-71.5551792
00001279,-16.46142333,-71.555325
00001259,-16.445535,-71.5545
00001276,-16.43449,-71.56375167
00001328,-16.48952679,-71.81430494
00036111,-16.4027169,-71.5102471
00007722,-16.39311429,-71.49319898
00001295,-16.40465083,-71.49744255
00034664,-16.4221872,-71.50899119
00033821,-16.41989314,-71.50823286
00031835,-16.42119475,-71.50873647
00030784,-16.42078411,-71.50796335
00025482,-16.41749438,-71.49163461
00001318,-16.40793389,-71.48030181
00027467,-16.4223296,-71.5076729
00001311,-16.422676,-71.494422
00026417,-16.42034823,-71.50697752
00026609,-16.4166405,-71.4768943
00026484,-16.42244635,-71.50892821
00025483,-16.41750724,-71.49162389
00025066,-16.4176097,-71.4908727
00025169,-16.42069755,-71.50851241
00001321,-16.32152491,-71.15115141
00001378,-16.27925769,-72.07759969
00023338,-16.4569563,-71.5197017
00021304,-16.4864952,-71.5054101
00001290,-16.430706,-71.672756
00035223,-16.3905061,-71.5427907
00036150,-16.39098455,-71.54106949
00036488,-16.39089771,-71.54358005
00032181,-16.38510514,-71.53919056
00025481,-16.39214275,-71.54109566
00024670,-16.3847695,-71.540122
00028026,-16.4090474,-71.537451
00020150,-16.39134732,-71.53949484
00029474,-16.39089187,-71.54364265
00030098,-16.39852304,-71.55061121
